Frame 0:	628 ms
Frame 1:	584 ms
Frame 2:	585 ms
Frame 3:	589 ms
Frame 4:	596 ms
Frame 5:	594 ms
Frame 6:	594 ms
Frame 7:	589 ms
Frame 8:	586 ms
Frame 9:	593 ms
Frame 10:	604 ms
Frame 11:	600 ms
Frame 12:	604 ms
Frame 13:	603 ms
Frame 14:	605 ms
Frame 15:	605 ms
Frame 16:	600 ms
Frame 17:	607 ms
Frame 18:	651 ms
Frame 19:	612 ms
Frame 20:	615 ms
Frame 21:	614 ms
Frame 22:	599 ms
Frame 23:	605 ms
Frame 24:	661 ms
Frame 25:	800 ms
Frame 26:	664 ms
Frame 27:	631 ms
Maximum FPS:	1.250000 fps
