Frame 0:	630 ms
Frame 1:	598 ms
Frame 2:	615 ms
Frame 3:	586 ms
Frame 4:	605 ms
Frame 5:	601 ms
Frame 6:	606 ms
Frame 7:	587 ms
Frame 8:	605 ms
Frame 9:	601 ms
Frame 10:	596 ms
Frame 11:	606 ms
Frame 12:	603 ms
Frame 13:	602 ms
Frame 14:	582 ms
Frame 15:	729 ms
Frame 16:	753 ms
Frame 17:	652 ms
Frame 18:	628 ms
Maximum FPS:	1.328021 fps
